,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
"b""]\xc7\x86\xb6\x17Q\xb2\x13+{\r\x0f(~\x93@R\xe2\x93'7\xa6wj\xdf\x1fj\xf7\xaf\x94$\xb0""",Aerospace Club,African Caribbean Student Club,Billiards Club,Blood Club of UBCO,Formula 1 Club,Golden Key International Honour Society,Hope Club UBCO,Horror Movie Club,Ice Cream Club,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,JDC West,Model United Nations Club,Photography Association,Power to Change,Pre-Dental Society,Punjabi Student Association,Sisu UBCO,Thai Erawan Club,UNICEF,Urban Dance Club,Video Game Development Club,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Engineering Society at UBC,Management Student Association (MSA),Microbiology Course Union,Psychology Course Union,Social Work Course Union,Visual Arts Course Union,Amnesty International UBCO,Badminton Club,Ballroom Dance Club,Bangladeshi Students (ABS),Beats,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Debate Society,Filipino Student Association,French Club,Girls in Tech,Golf Club,iGEM UBCO,International Relations Student Association,It's Lit! Club,Japanese Culture Club,Kelowna Ismaili Student Association,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Muslim Students Association,NDP Club,Nepalese Scholars' Association,Persian Students' Club,Pre-Law Society,Pre-Med Club,Relay for Life Club,Rock N Roll Club,South East Asian Club,Sport Programming Club,University Christian Ministries,Vegan Club,Women in Engineering,Yoga Club,Young Greens of UBCO,Biochemistry Course Union,Computer Science Course Union,Environmental Chemistry Course Union,Geography Course Union,Human Kinetics Student Association,Management Student Association - Marketing Club,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Age Link,Backcountry Hunters & Anglers,Bible Discussion Club,Cricket Club,Design Club,Enactus UBCO,Games Club,Global Brigades Club,Heatwave Radio,Hong Kong Student Club,Indian Culture and Dance Club,Latin American Student Organization,Medieval Club,Mountain Riders Club,MySmallHelp UBCO,Nourishing Futures,Pink Backpack Club,Sex Positivity Club,South Asian Students Association,Web Development Club,Weightlifting Club UBCO,Management Student Association - Accounting Club,Asian Student Association,Astronomy Club,Bhangra Club,Esports Association,Grow n Glow Club,Varsity Outdoor Club Okanagan,Management Student Association - Consulting Club,StockX Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Wildlife Society UBCO Student Chapter,Management Student Association - Entrepreneur Club,Management Student Association - Human Resources Club,Nursing Course Union,BC Young Liberals,Christina Noble Foundation UBCO,Pakistan Students Association
"b'\x83\xf2\x15\xfbdE&\x85\x16\xd8\xb2vo!\xbc\x05*\x97\xb3W\xd8\xa3\xb53""\xbd\xaf\x81\xcb&\x9c~'",Aerospace Club,Amnesty International UBCO,Astronomy Club,Backcountry Hunters & Anglers,Badminton Club,Bangladeshi Students (ABS),BC Young Liberals,Beats,Bible Discussion Club,Billiards Club,Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Cricket Club,Debate Society,Design Club,Filipino Student Association,Formula 1 Club,French Club,Girls in Tech,Golden Key International Honour Society,Golf Club,Grow n Glow Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Mountain Riders Club,MySmallHelp UBCO,NDP Club,Nepalese Scholars' Association,Pakistan Students Association,Photography Association,Pink Backpack Club,Power to Change,Pre-Dental Society,Pre-Law Society,Pre-Med Club,Punjabi Student Association,Relay for Life Club,Rock N Roll Club,Sisu UBCO,South Asian Students Association,South East Asian Club,Sport Programming Club,Thai Erawan Club,UNICEF,University Christian Ministries,Urban Dance Club,Varsity Outdoor Club Okanagan,Vegan Club,Video Game Development Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Women in Engineering,Yoga Club,Biochemistry Course Union,Chemistry Course Union (CCU),Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Geography Course Union,Human Kinetics Student Association,Management Student Association - Accounting Club,Management Student Association - Consulting Club,Management Student Association - Marketing Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Psychology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,African Caribbean Student Club,Age Link,Asian Student Association,Ballroom Dance Club,Enactus UBCO,Games Club,International Relations Student Association,Kelowna Ismaili Student Association,Latin American Student Organization,Muslim Students Association,Nourishing Futures,Persian Students' Club,Sex Positivity Club,StockX Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Young Greens of UBCO,Environmental Chemistry Course Union,Management Student Association (MSA),Management Student Association - Human Resources Club,Nursing Course Union,Bhangra Club,Christina Noble Foundation UBCO,Esports Association,Global Brigades Club,Student Independent Research Club,Management Student Association - Entrepreneur Club,Web Development Club
b'\xdf<\x96<d\xecY1r\xaft\xcf\xb0\xf6\x05WI\xfc>%\x8e{\xe7\x02\xb3kH\x991Z\xea\x01',Amnesty International UBCO,Badminton Club,Blood Club of UBCO,Design Club,Enactus UBCO,Filipino Student Association,French Club,Golf Club,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",International Relations Student Association,iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Mental Health Awareness and Advocacy Club (MHAAC),NDP Club,Nepalese Scholars' Association,Nourishing Futures,Persian Students' Club,Pink Backpack Club,Power to Change,Pre-Law Society,Relay for Life Club,Sex Positivity Club,Sisu UBCO,South Asian Students Association,Students for Healthy Alternatives and Risk Prevention (SHARP),UNICEF,University Christian Ministries,Video Game Development Club,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Management Student Association - Marketing Club,Microbiology Course Union,Visual Arts Course Union,Aerospace Club,African Caribbean Student Club,Age Link,Asian Student Association,Ballroom Dance Club,Bangladeshi Students (ABS),Beats,Bible Discussion Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Formula 1 Club,Girls in Tech,Hong Kong Student Club,Indian Culture and Dance Club,Kelowna Ismaili Student Association,Latin American Student Organization,Motorsports Club,Mountain Riders Club,MySmallHelp UBCO,Pakistan Students Association,Pre-Dental Society,Punjabi Student Association,South East Asian Club,Student Independent Research Club,Vegan Club,Web Development Club,Yoga Club,Biochemistry Course Union,Chemistry Course Union (CCU),Computer Science Course Union,Management Student Association - Consulting Club,Management Student Association - Entrepreneur Club,Social Work Course Union,Backcountry Hunters & Anglers,BC Young Liberals,Bhangra Club,Billiards Club,Debate Society,Grow n Glow Club,Hope Club UBCO,It's Lit! Club,Medieval Club,Muslim Students Association,Photography Association,Pre-Med Club,Urban Dance Club,Wildlife Society UBCO Student Chapter,Women in Engineering,Young Greens of UBCO,Earth and Environmental Sciences Course Union,Human Kinetics Student Association,Management Student Association (MSA),Cricket Club,Esports Association,Golden Key International Honour Society,Model United Nations Club,Sport Programming Club,StockX Club,Thai Erawan Club,Management Student Association - Accounting Club,Management Student Association - Human Resources Club,Nursing Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Psychology Course Union,Quantitative Sciences Course Union,Astronomy Club,Global Brigades Club,Heatwave Radio,Varsity Outdoor Club Okanagan,Rock N Roll Club,Christina Noble Foundation UBCO,Weightlifting Club UBCO,Games Club
b'%\xd9\x9a\xbb\xf6P];\xc2%\x8d\xdd\x14\x0b\xe2\xe8II\xc8\xf9\x99\t\x05M\xd9\x1e|\xc5\xdf\x90\xc8\x03',Amnesty International UBCO,Bangladeshi Students (ABS),Blood Club of UBCO,Design Club,Filipino Student Association,Golden Key International Honour Society,Golf Club,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Mental Health Awareness and Advocacy Club (MHAAC),MySmallHelp UBCO,Photography Association,Pink Backpack Club,Power to Change,Punjabi Student Association,Sisu UBCO,UNICEF,University Christian Ministries,Vegan Club,Video Game Development Club,Women in Engineering,Biochemistry Course Union,Engineering Society at UBC,Management Student Association - Marketing Club,Microbiology Course Union,Social Work Course Union,Visual Arts Course Union,Aerospace Club,Age Link,Badminton Club,Bible Discussion Club,Billiards Club,Concrete Toboggan Club (GNCTR),Formula 1 Club,Girls in Tech,Grow n Glow Club,Hong Kong Student Club,Indian Culture and Dance Club,International Relations Student Association,It's Lit! Club,Nourishing Futures,Pre-Dental Society,Pre-Law Society,Relay for Life Club,Sex Positivity Club,South Asian Students Association,South East Asian Club,Chemistry Course Union (CCU),Environmental Chemistry Course Union,Geography Course Union,African Caribbean Student Club,Ballroom Dance Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Debate Society,Esports Association,French Club,Hope Club UBCO,Kelowna Ismaili Student Association,Model United Nations Club,Motorsports Club,Muslim Students Association,NDP Club,Nepalese Scholars' Association,Persian Students' Club,Pre-Med Club,Sport Programming Club,Urban Dance Club,Wildlife Society UBCO Student Chapter,Yoga Club,Computer Science Course Union,Earth and Environmental Sciences Course Union,Human Kinetics Student Association,Management Student Association - Consulting Club,Psychology Course Union,Backcountry Hunters & Anglers,BC Young Liberals,Beats,Cricket Club,Enactus UBCO,Heatwave Radio,Latin American Student Organization,Medieval Club,Mountain Riders Club,Pakistan Students Association,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,Young Greens of UBCO,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,"Philosophy, Politics, and Economics (PPE) Course Union",Astronomy Club,StockX Club,Web Development Club,Management Student Association - Human Resources Club,Quantitative Sciences Course Union,Asian Student Association,Bhangra Club,Global Brigades Club,Rock N Roll Club,Varsity Outdoor Club Okanagan,Nursing Course Union,Student Independent Research Club,Weightlifting Club UBCO,Christina Noble Foundation UBCO,Games Club
"b"".\xe3\xaf\tE\x81\xc6G\x85\xf7U\xca7\xdau\xc4\xad\x07\xa7'I\xeb\xc4\x89t\x84\xb6\x80\xe6\xdd#3""",Aerospace Club,Badminton Club,Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Formula 1 Club,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Power to Change,UNICEF,Video Game Development Club,Chemistry Course Union (CCU),Engineering Society at UBC,Environmental Chemistry Course Union,Microbiology Course Union,Backcountry Hunters & Anglers,Chinese Students and Scholars Association,Golden Key International Honour Society,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,JDC West,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Nepalese Scholars' Association,Photography Association,Punjabi Student Association,Sex Positivity Club,Sisu UBCO,Yoga Club,Geography Course Union,Visual Arts Course Union,Age Link,Amnesty International UBCO,Beats,Billiards Club,Enactus UBCO,It's Lit! Club,Japanese Culture Club,Kelowna Ismaili Student Association,Medieval Club,NDP Club,Pink Backpack Club,Pre-Law Society,Relay for Life Club,Thai Erawan Club,University Christian Ministries,Web Development Club,Young Greens of UBCO,Biochemistry Course Union,Psychology Course Union,Social Work Course Union,Debate Society,French Club,Golf Club,Hong Kong Student Club,Persian Students' Club,Student Independent Research Club,Urban Dance Club,Vegan Club,Earth and Environmental Sciences Course Union,Management Student Association - Entrepreneur Club,"Philosophy, Politics, and Economics (PPE) Course Union",Ballroom Dance Club,Bangladeshi Students (ABS),Canadian Students for Sensible Drug Policy (CSSDP),Filipino Student Association,Global Brigades Club,Indian Culture and Dance Club,Latin American Student Organization,Pre-Dental Society,South East Asian Club,Women in Engineering,Computer Science Course Union,Quantitative Sciences Course Union,African Caribbean Student Club,Asian Student Association,Design Club,Mountain Riders Club,Muslim Students Association,MySmallHelp UBCO,Nourishing Futures,Pakistan Students Association,Management Student Association (MSA),Bible Discussion Club,Grow n Glow Club,Hope Club UBCO,South Asian Students Association,Students for Healthy Alternatives and Risk Prevention (SHARP),Wildlife Society UBCO Student Chapter,Management Student Association - Accounting Club,Management Student Association - Consulting Club,International Relations Student Association,Sport Programming Club,Girls in Tech,Model United Nations Club,Management Student Association - Marketing Club,Bhangra Club,Esports Association,Heatwave Radio,Rock N Roll Club,Human Kinetics Student Association,Nursing Course Union,BC Young Liberals,StockX Club,Management Student Association - Human Resources Club,Astronomy Club,Pre-Med Club,Varsity Outdoor Club Okanagan,Weightlifting Club UBCO,Games Club,Cricket Club,Christina Noble Foundation UBCO
b'%S\x19cR_\xb2\xf1\xb4\xf0\xf4\x1d\xe9\xe9\xb00\x88-\xd5\x1b[%K\x00\xf8je\xce\x95\xa8\xbd\x83',Amnesty International UBCO,Badminton Club,Beats,Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Enactus UBCO,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,JDC West,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Mountain Riders Club,Persian Students' Club,Photography Association,Power to Change,Pre-Law Society,Relay for Life Club,Rock N Roll Club,Sisu UBCO,UNICEF,Urban Dance Club,Video Game Development Club,Yoga Club,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Visual Arts Course Union,Asian Student Association,BC Young Liberals,Bhangra Club,Bible Discussion Club,Canadian Students for Sensible Drug Policy (CSSDP),Filipino Student Association,French Club,Girls in Tech,Global Brigades Club,Golf Club,Grow n Glow Club,Heatwave Radio,Hong Kong Student Club,It's Lit! Club,Japanese Culture Club,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Pakistan Students Association,Pink Backpack Club,Pre-Med Club,Sex Positivity Club,South East Asian Club,StockX Club,Students for Healthy Alternatives and Risk Prevention (SHARP),University Christian Ministries,Vegan Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Biochemistry Course Union,Computer Science Course Union,Human Kinetics Student Association,Social Work Course Union,Aerospace Club,African Caribbean Student Club,Age Link,Ballroom Dance Club,Bangladeshi Students (ABS),Chinese Students and Scholars Association,Cricket Club,Design Club,Formula 1 Club,Games Club,Golden Key International Honour Society,International Relations Student Association,Kelowna Ismaili Student Association,Latin American Student Organization,Model United Nations Club,Punjabi Student Association,South Asian Students Association,Sport Programming Club,Varsity Outdoor Club Okanagan,Web Development Club,Young Greens of UBCO,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Psychology Course Union,Billiards Club,Christina Noble Foundation UBCO,Pre-Dental Society,Student Independent Research Club,Astronomy Club,Backcountry Hunters & Anglers,Debate Society,Muslim Students Association,MySmallHelp UBCO,Women in Engineering,Thai Erawan Club,Management Student Association (MSA),Nursing Course Union,Esports Association
b'\x82\xe53\x99&\xddG\xef\xa1\x8as\xb3\x9d\x91\x80\x8b\n\xd3\xb6No\xb6\x84j\x0fJ\x00\xb0\xee\n\x9fS',African Caribbean Student Club,Amnesty International UBCO,Badminton Club,Ballroom Dance Club,BC Young Liberals,Bible Discussion Club,Billiards Club,Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Concrete Toboggan Club (GNCTR),Cricket Club,Design Club,Games Club,Golden Key International Honour Society,Golf Club,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,Inclusive Men's Health Partnership,Indian Culture and Dance Club,iSoto (Indonesian Students of the Okanagan),Japanese Culture Club,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Mountain Riders Club,Muslim Students Association,MySmallHelp UBCO,Nepalese Scholars' Association,Photography Association,Power to Change,Pre-Med Club,Punjabi Student Association,Rock N Roll Club,South East Asian Club,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Yoga Club,Computer Science Course Union,Engineering Society at UBC,Geography Course Union,Human Kinetics Student Association,Management Student Association - Accounting Club,Management Student Association - Human Resources Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Aerospace Club,Astronomy Club,Bangladeshi Students (ABS),Beats,Chinese Students and Scholars Association,Debate Society,Filipino Student Association,Formula 1 Club,Girls in Tech,Heatwave Radio,iGEM UBCO,"Innovate, Design, Sustain Club",It's Lit! Club,Jack.org UBCO Chapter,JDC West,Latin American Student Organization,Model United Nations Club,NDP Club,Nourishing Futures,Pakistan Students Association,Pink Backpack Club,Pre-Dental Society,Pre-Law Society,Relay for Life Club,Sex Positivity Club,Sisu UBCO,Sport Programming Club,Thai Erawan Club,Varsity Outdoor Club Okanagan,Women in Engineering,Young Greens of UBCO,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Management Student Association (MSA),Management Student Association - Consulting Club,Management Student Association - Marketing Club,Social Work Course Union,Visual Arts Course Union,Asian Student Association,Backcountry Hunters & Anglers,French Club,Global Brigades Club,Grow n Glow Club,International Relations Student Association,South Asian Students Association,StockX Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Vegan Club,Biochemistry Course Union,Environmental Chemistry Course Union,Nursing Course Union,Psychology Course Union,Age Link,Student Independent Research Club,Web Development Club,Christina Noble Foundation UBCO,Esports Association,Kelowna Ismaili Student Association,Management Student Association - Entrepreneur Club,Bhangra Club,Enactus UBCO,Persian Students' Club
"b'B\xa6\x89x\x82\xb5\xe0#\xe0\xc8\xa1\xc7\xedw\xf5\xf6\x13\x81\xa8\xbf\xe8\xbc\x85\r\x96\x1a\x8d\xca\x7f\x98,\x10'",Blood Club of UBCO,Ice Cream Club,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Latin American Student Organization,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Nepalese Scholars' Association,Photography Association,Power to Change,Relay for Life Club,Sisu UBCO,UNICEF,Urban Dance Club,Vegan Club,Video Game Development Club,Yoga Club,Computer Science Course Union,Engineering Society at UBC,Geography Course Union,Microbiology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Aerospace Club,African Caribbean Student Club,Age Link,Amnesty International UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Formula 1 Club,Golf Club,iGEM UBCO,"Innovate, Design, Sustain Club",International Relations Student Association,Jack.org UBCO Chapter,JDC West,Medieval Club,Nourishing Futures,Sex Positivity Club,South East Asian Club,Young Greens of UBCO,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Environmental Chemistry Course Union,Visual Arts Course Union,Ballroom Dance Club,Bangladeshi Students (ABS),Bible Discussion Club,Concrete Toboggan Club (GNCTR),Filipino Student Association,Global Brigades Club,Grow n Glow Club,Horror Movie Club,It's Lit! Club,Japanese Culture Club,Kelowna Ismaili Student Association,Mountain Riders Club,MySmallHelp UBCO,NDP Club,Pre-Dental Society,Punjabi Student Association,Sport Programming Club,University Christian Ministries,Web Development Club,Women in Engineering,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Marketing Club,"Philosophy, Politics, and Economics (PPE) Course Union",Backcountry Hunters & Anglers,Beats,Debate Society,Design Club,Esports Association,French Club,Girls in Tech,Hong Kong Student Club,Hope Club UBCO,Indian Culture and Dance Club,Muslim Students Association,Pink Backpack Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Chemistry Course Union (CCU),Billiards Club,Golden Key International Honour Society,Student Independent Research Club,Thai Erawan Club,Human Kinetics Student Association,Management Student Association - Entrepreneur Club,Psychology Course Union,Asian Student Association,Badminton Club,Heatwave Radio,Model United Nations Club,Pakistan Students Association,Persian Students' Club,Pre-Law Society,Rock N Roll Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Nursing Course Union,BC Young Liberals,Games Club,Pre-Med Club,South Asian Students Association,Management Student Association - Consulting Club,Bhangra Club,Cricket Club,Enactus UBCO,StockX Club,Management Student Association - Human Resources Club,Varsity Outdoor Club Okanagan,Christina Noble Foundation UBCO,Astronomy Club
b'x<q\xa3f\x13\xe1\xb0\xf1J\xc5\xee*\xa2w5\x86\x98]\xd8\x87\x0e/S\xb3{\xa4\xce \x1dob',Aerospace Club,African Caribbean Student Club,Age Link,Amnesty International UBCO,Asian Student Association,Astronomy Club,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Bangladeshi Students (ABS),BC Young Liberals,Beats,Bhangra Club,Bible Discussion Club,Billiards Club,Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Christina Noble Foundation UBCO,Concrete Toboggan Club (GNCTR),Cricket Club,Debate Society,Design Club,Enactus UBCO,Esports Association,Filipino Student Association,Formula 1 Club,French Club,Games Club,Girls in Tech,Global Brigades Club,Golden Key International Honour Society,Golf Club,Grow n Glow Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",International Relations Student Association,iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Kelowna Ismaili Student Association,Latin American Student Organization,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Mountain Riders Club,Muslim Students Association,MySmallHelp UBCO,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Pakistan Students Association,Persian Students' Club,Photography Association,Pink Backpack Club,Power to Change,Pre-Dental Society,Pre-Law Society,Pre-Med Club,Punjabi Student Association,Relay for Life Club,Rock N Roll Club,Sex Positivity Club,Sisu UBCO,South Asian Students Association,South East Asian Club,Sport Programming Club,StockX Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,UNICEF,University Christian Ministries,Urban Dance Club,Varsity Outdoor Club Okanagan,Vegan Club,Video Game Development Club,Web Development Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Women in Engineering,Yoga Club,Young Greens of UBCO,Biochemistry Course Union,Chemistry Course Union (CCU),Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Consulting Club,Management Student Association - Entrepreneur Club,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Microbiology Course Union,Nursing Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Psychology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union
"b""\x1eFiJs\xc2\xa5\x8c\x1dM(\xe6\xa9\t\xbe'c\xa9`\xaf\xb1\xde45\x9e~H\xefF\xfd\xff.""",Aerospace Club,Billiards Club,Blood Club of UBCO,Enactus UBCO,Formula 1 Club,Golden Key International Honour Society,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,JDC West,Photography Association,Power to Change,Punjabi Student Association,Thai Erawan Club,UNICEF,Urban Dance Club,Video Game Development Club,Biochemistry Course Union,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Microbiology Course Union,Psychology Course Union,Social Work Course Union,Visual Arts Course Union,Age Link,Amnesty International UBCO,Badminton Club,Bangladeshi Students (ABS),Beats,Chinese Students and Scholars Association,Debate Society,Indian Culture and Dance Club,Japanese Culture Club,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Nepalese Scholars' Association,Persian Students' Club,Pink Backpack Club,Pre-Law Society,Sex Positivity Club,Sisu UBCO,Sport Programming Club,University Christian Ministries,Vegan Club,Women in Engineering,Yoga Club,Young Greens of UBCO,Geography Course Union,Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Quantitative Sciences Course Union,Backcountry Hunters & Anglers,Ballroom Dance Club,Filipino Student Association,French Club,Global Brigades Club,Golf Club,Grow n Glow Club,Hope Club UBCO,Kelowna Ismaili Student Association,Medieval Club,Mountain Riders Club,MySmallHelp UBCO,NDP Club,Nourishing Futures,Relay for Life Club,South Asian Students Association,South East Asian Club,Web Development Club,African Caribbean Student Club,Bible Discussion Club,Canadian Students for Sensible Drug Policy (CSSDP),Design Club,Model United Nations Club,Muslim Students Association,Student Independent Research Club,Weightlifting Club UBCO,Computer Science Course Union,Management Student Association (MSA),Asian Student Association,Bhangra Club,Concrete Toboggan Club (GNCTR),It's Lit! Club,Latin American Student Organization,Pakistan Students Association,Pre-Dental Society,StockX Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Human Kinetics Student Association,Management Student Association - Consulting Club,"Philosophy, Politics, and Economics (PPE) Course Union",Esports Association,International Relations Student Association,Nursing Course Union,Hong Kong Student Club,Rock N Roll Club,Wildlife Society UBCO Student Chapter,Girls in Tech,Heatwave Radio,Pre-Med Club,Management Student Association - Marketing Club,Astronomy Club,BC Young Liberals,Games Club,Christina Noble Foundation UBCO,Varsity Outdoor Club Okanagan,Cricket Club,Management Student Association - Human Resources Club
